S/N,School Name,Area,Type,GEP,SAP,,
1,Nanyang Primary School,Bukit Timah,Co-Ed,Yes,Yes,,
2,Catholic High School,Bishan,Boys’,Yes,Yes,,
3,Tao Nan School,Marine Parade,Co-Ed,Yes,Yes,,
4,Nan Hua Primary School,Clementi,Co-Ed,Yes,Yes,,
5,Saint Hilda's Primary School,Tampines,Co-Ed,Yes,No,,
6,Henry Park Primary School,Bukit Timah,Co-Ed,Yes,No,,
7,Anglo-Chinese School Primary,Novena,Boys’,Yes,No,,
8,Raffles Girls’ Primary School,Bukit Timah,Girls’,Yes,No,,
9,Pei Hwa Presbyterian Primary School,Bukit Timah,Co-Ed,No,Yes,,
10,CHIJ Saint Nicholas Girls' School,Ang Mo Kio,Girls’,No,Yes,,
11,Rosyth School,Serangoon,Co-Ed,Yes,No,,
12,Kong Hwa School,Geylang,Co-Ed,No,Yes,,
13,Poi Ching School,Tampines,Co-Ed,No,Yes,,
14,Holy Innocents' Primary School,Hougang,Co-Ed,No,Yes,,
15,Ai Tong School,Bishan,Co-Ed,No,Yes,,
16,Red Swastika School,Bedok,Co-Ed,No,Yes,,
17,Maris Stella High School,Toa Payoh,Boys’,No,Yes,,
18,Rulang Primary School,Jurong West,Co-Ed,No,No,,
19,Pei Chun Public School,Tao Payoh,Co-Ed,No,Yes,,
20,Singapore Chinese Girls’ Primary,Novena,Girls’,No,No,,
21,Methodist Girls’ School Primary,Bukit Timah,Girls’,No,No,,
22,Hong Wen School,Kallang,Co-Ed,No,Yes,,
23,Maha Bodhi School,Geylang,Co-Ed,No,Yes,,
24,Anglo-Chinese School (Junior),Central,Boys’,No,No,,
25,Fairfield Methodist School,Queenstown,Co-Ed,No,No,,
26,Paya Lebar Methodist Girls' School,Hougang,Girls’,No,No,,
27,Radin Mas Primary School,Bukit Merah,Co-Ed,No,No,,
28,South View Primary School,Choa Chu Kang,Co-Ed,No,No,,
29,Chongfu School,Yishun,Co-Ed,No,No,,
30,Saint Margaret's Primary School,Central,Girls’,No,No,,
31,Chongzheng Primary School,Tampines,Co-Ed,No,No,,
32,Punggol Primary School,Hougang,Co-Ed,No,No,,
33,Qifa Primary School,Clementi,Co-Ed,No,No,,
34,Admiralty Primary School,Woodlands,Co-Ed,No,No,,
35,Yangzheng Primary School,Serangoon,Co-Ed,No,No,,
36,Mayflower Primary School,Ang Mo Kio,Co-Ed,No,No,,
37,Woodlands Primary School,Woodlands,Co-Ed,No,No,,
38,Rivervale Primary School,Sengkang,Co-Ed,No,No,,
39,Bukit Panjang Primary School,Bukit Panjang,Co-Ed,No,No,,
40,Gongshang Primary School,Tampines,Co-Ed,No,No,,
41,Wellington Primary School,Sembawang,Co-Ed,No,No,,
42,Innova Primary School,Woodlands,Co-Ed,No,No,,
43,Princess Elizabeth Primary School,Bukit Batok,Co-Ed,No,No,,
44,Mee Toh School,Punggol,Co-Ed,No,No,,
45,CHIJ Primary,Toa Payoh,Girls’,No,No,,
46,Kheng Cheng School,Toa Payoh,Co-Ed,No,No,,
47,Haig Girls' School,Geylang,Girls’,No,No,,
48,Kuo Chuan Presbyterian Primary School,Bishan,Co-Ed,No,No,,
49,Hougang Primary School,Hougang,Co-Ed,No,No,,
50,Temasek Primary School,Bedok,Co-Ed,No,No,,
51,Anderson Primary School,Ang Mo Kio,Co-Ed,No,No,,
