,year,dengue/dhf,malaria,enteric_fever,viral_hepatitis,cholera,poliomyelitis,diphtheria,measles,legionellosis,nipah_virus_infection,sars,tuberculosis,leprosy,total_rainfall,mean_sunshine_hrs,mean_rh,mean_temp,no_of_rainy_days
0,1982,216,282,174,426,31,1,6,0,0,0,0,2179,61,1581.7,5.75,81.96666666666667,27.358333333333334,130
1,1983,205,219,137,626,14,2,4,0,0,0,0,2065,69,1993.7,5.625,82.28333333333333,27.666666666666668,145
2,1984,86,193,118,601,40,2,0,0,0,0,0,2143,43,2686.7,5.083333333333333,84.61666666666666,26.766666666666666,191
3,1985,126,166,148,610,27,0,0,0,0,0,0,1952,57,1483.9,5.591666666666666,83.20833333333333,27.116666666666664,181
4,1986,354,180,158,730,27,2,1,0,0,0,0,1760,39,2536.1,5.5249999999999995,82.86666666666666,27.099999999999998,174
5,1987,436,165,132,752,63,0,1,0,0,0,0,1616,44,2102.8,5.916666666666667,82.86666666666666,27.375,151
6,1988,245,228,174,464,19,0,0,0,0,0,0,1666,39,2598.6,5.375,83.84166666666667,27.233333333333334,173
7,1989,944,203,128,439,39,0,1,0,0,0,0,1617,48,2463.2,5.533333333333334,84.35000000000001,26.916666666666668,173
8,1990,1733,216,231,440,26,0,1,0,0,0,0,1591,36,1523.8,6.2,82.20833333333333,27.59166666666667,142
9,1991,2179,267,132,501,34,0,1,0,0,0,0,1841,23,1877.0,5.375,83.13333333333334,27.433333333333334,146
10,1992,2878,221,162,596,17,0,1,0,0,0,0,1747,41,2260.8,5.5249999999999995,83.30833333333334,27.349999999999998,163
11,1993,946,354,144,317,24,0,0,0,0,0,0,1939,24,2168.7,5.883333333333334,83.65833333333335,27.433333333333334,163
12,1994,1239,277,151,258,42,0,0,0,0,0,0,1836,27,1941.8,5.416666666666667,83.31666666666666,27.59166666666667,160
13,1995,2008,316,171,267,14,0,0,0,0,0,0,2167,34,2332.6,5.05,84.54166666666667,27.583333333333332,179
14,1996,3128,364,316,318,19,0,1,0,0,0,0,2483,23,2418.0,5.558333333333334,83.35000000000001,27.491666666666664,170
15,1997,4300,421,112,345,11,0,0,0,0,0,0,2772,23,1118.9,5.708333333333333,79.63333333333334,28.25,116
16,1998,5258,405,80,367,31,0,0,0,0,0,0,2747,19,2623.1,5.7250000000000005,82.45833333333333,28.3,177
17,1999,1355,316,64,248,11,0,0,0,0,11,0,2419,22,2134.0,5.408333333333334,84.15833333333333,27.491666666666664,177
18,2000,673,266,101,211,10,0,0,0,19,0,0,2229,18,2370.5,5.166666666666667,84.74166666666666,27.458333333333332,188
19,2001,2372,229,116,145,8,0,0,0,52,0,0,2138,14,2783.1000000000004,5.216666666666667,84.26666666666667,27.608333333333334,184
20,2002,3945,175,74,323,2,0,0,0,40,0,0,2006,11,1748.9,6.3,82.49166666666666,28.083333333333332,139
21,2003,4788,118,41,131,2,0,0,0,46,0,239,1997,11,2391.2,5.433333333333334,84.3,27.75,186
22,2004,9459,152,84,192,11,0,0,0,17,0,0,1916,14,2136.4,5.966666666666666,83.46666666666667,27.858333333333334,147
23,2005,14209,166,95,250,1,0,0,0,22,0,0,1936,13,1930.7,6.066666666666666,83.15833333333333,28.016666666666666,175
24,2006,3127,181,83,308,0,0,0,0,19,0,0,1972,12,2753.2,5.633333333333333,84.59166666666667,27.724999999999998,174
25,2007,8826,154,100,219,7,0,0,0,16,0,0,2014,12,2886.2,5.316666666666666,84.5,27.53333333333333,195
26,2008,7031,152,113,261,1,0,0,0,25,0,0,2444,10,2325.1,5.241666666666666,83.40833333333333,27.483333333333334,182
27,2009,4497,170,97,253,4,0,0,0,22,0,0,2517,8,1920.9,5.95,82.36666666666666,27.916666666666668,166
28,2010,5363,192,120,256,4,0,0,0,25,0,0,2791,12,2075.1,5.691666666666666,82.875,28.099999999999998,178
29,2011,5330,149,104,239,2,0,0,148,21,0,0,2126,16,2524.2000000000003,5.575,84.625,27.575,188
30,2012,4632,143,141,272,2,0,0,38,31,0,0,2203,15,2159.9,5.533333333333334,83.475,27.53333333333333,191
31,2013,22170,111,107,202,2,0,0,46,24,0,0,2028,12,2748.4,5.433333333333334,81.69166666666666,27.650000000000002,206
32,2014,18326,62,77,194,2,0,0,142,37,0,0,2018,6,1538.4,5.9750000000000005,78.52499999999999,27.90833333333333,152
33,2015,11294,47,76,207,3,0,0,42,17,0,0,2000,3,1267.1,6.166666666666667,76.89999999999999,28.25,125
34,2016,13085,31,70,193,2,0,0,136,12,0,0,2310,7,1955.7,6.0,75.95,28.416666666666668,179
35,2017,2767,39,81,217,3,0,1,70,19,0,0,2191,6,2045.6,5.8,82.625,27.7,204
36,2018,3283,35,59,193,2,0,0,34,22,0,0,2182,6,1708.2,5.75,79.60000000000001,27.891666666666666,188
37,2019,15979,33,85,161,2,0,0,152,23,0,0,1978,4,1367.5,6.783333333333334,76.64999999999999,28.425,120
38,2020,35266,13,40,141,0,0,0,10,16,0,0,2225,3,1886.6,5.875,78.08333333333333,28.041666666666668,178
39,2021,5261,2,20,99,3,0,0,0,14,0,0,2314,9,2809.6,6.125,78.45,27.90833333333333,182
