Name,Cuisine,Location,Price,Vegan/Meat,Country,Latitude,Longitude,Address,PostalCode
1 Tyrwhitt Bistro Bar,"American, Bar, Italian, Vegetarian Friendly",Jalan Besar,$$,Vegan,Singapore,1.3064665,103.8559981,"Jalan Besar, Little India, Rochor, Singapore, Central, 208828, Singapore",208828
1 Tyrwhitt Bistro Bar,"American, Bar, Italian, Vegetarian Friendly",Lavender,$$,Vegan,Singapore,1.30734955,103.8631527,"Lavender, 50, Kallang Road, Kallang, Singapore, Central, 208699, Singapore",208699
1-Altitude Coast,"Bar, Southeast Asian",Sentosa,$$$,Meat,Singapore,1.24894585,103.8343056,"Sentosa, Southwest, Singapore",
1-Arden,Bar,Raffles Place,$$$$,Meat,Singapore,1.2835417,103.8514602,"Raffles Place, Marina Boulevard, Downtown Central, Downtown Core, Singapore, Central, 049247, Singapore",49247
10 SCOTTS,"Bar, Japanese, Seafood, British, High Tea",Orchard,$$$,Meat,Singapore,1.30312075,103.8313759,"Orchard, Orchard Boulevard, Orchard, Singapore, Central, 238801, Singapore",238801
123 Zo Viet Bbq n Hotpot,"Vietnamese, Steamboat, BBQ",Paya Lebar,$$$,Meat,Singapore,1.3174795,103.8923525,"Paya Lebar, Tanjong Katong Road, Geylang, Singapore, Southeast, 400845, Singapore",400845
13% Wine Bistro @ Telok Ayer,Modern European,Telok Ayer,$$$,Meat,Singapore,1.28233605,103.848291,"Telok Ayer, 7, Cross Street, Chinatown, Outram, Singapore, Central, 048424, Singapore",48424
15 Stamford by Alvin Leung (The Capitol Kempinski Hotel Singapore),Modern Asian,City Hall,$$$,Meat,Singapore,1.2930272,103.8526448,"City Hall, Stamford Road, Civic District, Downtown Core, Singapore, Central, 178905, Singapore",178905
1864,"Bar, Fusion, Coffee, High Tea",Tanjong Pagar,$$$$,Meat,Singapore,1.27660565,103.8457793,"Tanjong Pagar, 120, Maxwell Road, Shenton Way, Downtown Core, Singapore, Central, 069115, Singapore",69115
1918 Heritage Bar,"Bar, Fusion, Local, Southeast Asian",Telok Blangah,$$$,Meat,Singapore,1.27102005,103.8096948,"Telok Blangah, 463, Telok Blangah Road, Bukit Merah, Singapore, Southwest, 109028, Singapore",109028
1927 Rooftop Bar @ Hotel Telegraph,"Bar, Fusion, Local, Small Bites",Raffles Place,$$$,Meat,Singapore,1.2835417,103.8514602,"Raffles Place, Marina Boulevard, Downtown Central, Downtown Core, Singapore, Central, 049247, Singapore",49247
1929 @ Keong Saik Restaurant & Bar,"Bar, Japanese, Malaysian, Asian",Keong Saik,$$,Meat,Singapore,1.3120964,103.7971925,"Keong Saik, 44, Jalan Merah Saga, Bukit Timah, Singapore, Northwest, 278116, Singapore",278116
225SmokeHouse@Padang,"American, Bar, Western",City Hall,$$,Meat,Singapore,1.2930272,103.8526448,"City Hall, Stamford Road, Civic District, Downtown Core, Singapore, Central, 178905, Singapore",178905
23 Ann Siang,"Bar, International, Local",Chinatown,$$,Meat,Singapore,1.2829435,103.8441517,"Chinatown, Trengganu Street, Chinatown, Outram, Singapore, Central, 058469, Singapore",58469
28 Hongkong Street,"American, Bar",Clarke Quay,$$$,Meat,Singapore,1.2887582,103.8466978,"Clarke Quay, 6, Eu Tong Sen Street, Clarke Quay, Singapore River, Singapore, Central, 059817, Singapore",59817
28Wilkie,Modern European,Dhoby Ghaut,$$$$$,Meat,Singapore,1.29962185,103.8454469,"Dhoby Ghaut, Orchard Road, Museum, Singapore, Central, 238838, Singapore",238838
3 Of Cups,"Bar, Vegetarian Friendly",Bugis,$$$,Vegan,Singapore,1.299966,103.8552892,"Bugis, Tan Quee Lan Street, Bugis, Downtown Core, Singapore, Central, 188749, Singapore",188749
435 At HOME,"Bar, Japanese, Fusion, Local, Modern Asian, Vegan Friendly, Asian, Western, Small Bites",Little India,$$$,Vegan,Singapore,1.30684265,103.8492736,"Little India, Kerbau Road, Little India, Rochor, Singapore, Central, 219178, Singapore",219178
49 Seats,"Fusion, Local",Orchard,$$,Meat,Singapore,1.30312075,103.8313759,"Orchard, Orchard Boulevard, Orchard, Singapore, Central, 238801, Singapore",238801
5 ON 25 五悦亭,"Chinese, Seafood, Vegetarian Friendly, Local, Dim Sum",Bugis,$$$,Vegan,Singapore,1.299966,103.8552892,"Bugis, Tan Quee Lan Street, Bugis, Downtown Core, Singapore, Central, 188749, Singapore",188749
5 Senses Bistro (Funan),"Modern European, French, Fusion, Seafood, Cafe",City Hall,$$,Meat,Singapore,1.2930272,103.8526448,"City Hall, Stamford Road, Civic District, Downtown Core, Singapore, Central, 178905, Singapore",178905
5 Senses Bistro (The Star Vista),"Bar, Japanese, International, Seafood, Cafe",Buona Vista,$$,Meat,Singapore,1.30660965,103.790751,"Buona Vista, North Buona Vista Road, Rochester Hill, Queenstown, Singapore, Southwest, 139350, Singapore",139350
566 Seafood & Beer Garden At Mandai Hill,"Chinese, Seafood",Woodlands,$$$,Meat,Singapore,1.436897,103.786216,"Woodlands, Northwest, Singapore",
665°F,Steakhouse,Bugis,$$$$,Meat,Singapore,1.299966,103.8552892,"Bugis, Tan Quee Lan Street, Bugis, Downtown Core, Singapore, Central, 188749, Singapore",188749
6ix 6ix 六六,"Bar, Chinese, Seafood, Vegetarian Friendly, BBQ",Orchard,$$$,Vegan,Singapore,1.30312075,103.8313759,"Orchard, Orchard Boulevard, Orchard, Singapore, Central, 238801, Singapore",238801
8 Korean BBQ (Shaw Centre),"Korean, BBQ",Orchard,$$,Meat,Singapore,1.30312075,103.8313759,"Orchard, Orchard Boulevard, Orchard, Singapore, Central, 238801, Singapore",238801
8 Korean BBQ (The Central),"Korean, BBQ",Clarke Quay,$$,Meat,Singapore,1.2887582,103.8466978,"Clarke Quay, 6, Eu Tong Sen Street, Clarke Quay, Singapore River, Singapore, Central, 059817, Singapore",59817
808 Eating House,"Local, Southeast Asian",Marine Parade,$$$,Meat,Singapore,1.3026889,103.9073952,"Marine Parade, Southeast, Singapore",
88 Seafood,"Chinese, Malaysian, Seafood, Local, Zi Char, BBQ, Asian, Small Bites",West Coast,$$$,Meat,Singapore,1.3106229,103.757958,"West Coast, West Coast Road, Westpeak Terrace, Clementi, Southwest, 120501, Singapore",120501
8BAR ESPRESSO,"Chinese, Fusion, All-Day Breakfast, Cafe, Modern Asian, Ice Cream, Desserts, Asian, Coffee, Small Bites",Paya Lebar,$$,Meat,Singapore,1.3174795,103.8923525,"Paya Lebar, Tanjong Katong Road, Geylang, Singapore, Southeast, 400845, Singapore",400845
9th ave.,"Fusion, Cafe",Woodlands,$$,Meat,Singapore,1.436897,103.786216,"Woodlands, Northwest, Singapore",
A&A Cafe & Bistro,"Malaysian, All-Day Breakfast, Local, Cafe, Ice Cream, Desserts, Juice, Coffee, Small Bites",Clarke Quay,$$,Meat,Singapore,1.2887582,103.8466978,"Clarke Quay, 6, Eu Tong Sen Street, Clarke Quay, Singapore River, Singapore, Central, 059817, Singapore",59817
Aburi-EN (Causeway Point),Japanese,Woodlands,$$,Meat,Singapore,1.436897,103.786216,"Woodlands, Northwest, Singapore",
Aburi-EN (Changi City Point),Japanese,Changi,$$,Meat,Singapore,1.3539247,103.9746973,"Changi, Southeast, Singapore",
Aburi-EN (Chinatown Point),Japanese,Chinatown,$$,Meat,Singapore,1.2829435,103.8441517,"Chinatown, Trengganu Street, Chinatown, Outram, Singapore, Central, 058469, Singapore",58469
Aburi-EN (Jem),Japanese,Jurong,$$,Meat,Singapore,1.2596598,103.6704396,"Jurong Island, Southwest, Singapore",
Aburi-EN (Jewel Changi Airport),Japanese,Changi,$$,Meat,Singapore,1.3539247,103.9746973,"Changi, Southeast, Singapore",
Aburi-EN (Nex),Japanese,Serangoon,$$,Meat,Singapore,1.34976105,103.8736841,"Serangoon, Upper Serangoon Road, Serangoon, Singapore, Southeast, 534801, Singapore",534801
Aburi-EN (NTP),Japanese,Yishun,$$,Meat,Singapore,1.4293839,103.8350282,"Yishun, 301, Yishun Avenue 2, Chong Pang, Yishun, Singapore, Northwest, 769093, Singapore",769093
Aburi-EN (Orchard Central),Japanese,Orchard,$$,Meat,Singapore,1.30312075,103.8313759,"Orchard, Orchard Boulevard, Orchard, Singapore, Central, 238801, Singapore",238801
Aburi-EN (Scotts),Japanese,Orchard,$$,Meat,Singapore,1.30312075,103.8313759,"Orchard, Orchard Boulevard, Orchard, Singapore, Central, 238801, Singapore",238801
Aburi-EN (Suntec City),Japanese,Promenade,$$,Meat,Singapore,1.29267315,103.8610155,"Promenade, Temasek Avenue, Suntec City, Downtown Core, Singapore, Central, 038986, Singapore",38986
Aburi-EN (Tampines Mall),Japanese,Tampines,$$,Meat,Singapore,1.3546528,103.9435712,"Tampines, Northeast, Singapore",
Aburi-EN (Tanjong Pagar),Japanese,Tanjong Pagar,$$,Meat,Singapore,1.27660565,103.8457793,"Tanjong Pagar, 120, Maxwell Road, Shenton Way, Downtown Core, Singapore, Central, 069115, Singapore",69115
Aburi-EN (Vivo City),Japanese,Harbourfront,$$,Meat,Singapore,1.265362,103.8215518,"HarbourFront, Telok Blangah Road, Bukit Merah, Singapore, Central, 098867, Singapore",98867
Aburiya @ Tanjong Pagar Japanese Wagyu Yakiniku,"Japanese, BBQ",Tanjong Pagar,$$$,Meat,Singapore,1.27660565,103.8457793,"Tanjong Pagar, 120, Maxwell Road, Shenton Way, Downtown Core, Singapore, Central, 069115, Singapore",69115
abV@Southbridge,"American, Bar, Modern European, International, Steakhouse, Cafe, Burgers",Chinatown,$$$,Meat,Singapore,1.2829435,103.8441517,"Chinatown, Trengganu Street, Chinatown, Outram, Singapore, Central, 058469, Singapore",58469
AC Kafe,"Japanese, Italian, Seafood, Cafe, Burgers, Desserts, Western, Coffee, Small Bites",Changi,$$,Meat,Singapore,1.3539247,103.9746973,"Changi, Southeast, Singapore",
Aceituna Mexicana,"Fusion, Vegetarian Friendly, Mexican",Tai Seng,$$,Vegan,Singapore,1.3353828,103.8883061,"Tai Seng, 33, Upper Paya Lebar Road, Tai Seng, Singapore, Southeast, 534803, Singapore",534803
Acid Bar,"Fusion, Local, Peranakan",Orchard,$$,Meat,Singapore,1.30312075,103.8313759,"Orchard, Orchard Boulevard, Orchard, Singapore, Central, 238801, Singapore",238801
Acqua e Farina,"Italian, Vegetarian Friendly",Bukit Timah,$$$,Vegan,Singapore,1.3546901,103.7763724,"Bukit Timah Hill, Northwest, 589333, Singapore",589333
ADDA,"Bar, Indian, Fusion",Bugis,$$,Meat,Singapore,1.299966,103.8552892,"Bugis, Tan Quee Lan Street, Bugis, Downtown Core, Singapore, Central, 188749, Singapore",188749
Aether House,French,Telok Ayer,$$$$,Meat,Singapore,1.28233605,103.848291,"Telok Ayer, 7, Cross Street, Chinatown, Outram, Singapore, Central, 048424, Singapore",48424
Afterglow,"Vegetarian Friendly, Cafe, Vegetarian, Vegan Friendly",Chinatown,$$$,Vegan,Singapore,1.2829435,103.8441517,"Chinatown, Trengganu Street, Chinatown, Outram, Singapore, Central, 058469, Singapore",58469
Afterglow,"Vegetarian Friendly, Cafe, Vegetarian, Vegan Friendly",Keong Saik,$$$,Vegan,Singapore,1.3120964,103.7971925,"Keong Saik, 44, Jalan Merah Saga, Bukit Timah, Singapore, Northwest, 278116, Singapore",278116
Ahara,"Indian, Fusion, Vegetarian Friendly, Modern Asian, Asian, Omakase",Tanjong Pagar,$$$$$,Vegan,Singapore,1.27660565,103.8457793,"Tanjong Pagar, 120, Maxwell Road, Shenton Way, Downtown Core, Singapore, Central, 069115, Singapore",69115
Ai Cafe | Cafe By Day ● Bistro By Night,"Bar, Cafe",Kallang,$$$$,Meat,Singapore,1.310759,103.866262,"Kallang, Singapore, Central, Singapore",
Akanoya Robatayaki,Japanese,Tanglin,$$$$$,Meat,Singapore,1.3060443,103.8152804,"Tanglin, Singapore, Central, Singapore",
Akira Back (JW Marriott Singapore South Beach),"Japanese, Korean, Vegetarian Friendly",City Hall,$$$$,Vegan,Singapore,1.2930272,103.8526448,"City Hall, Stamford Road, Civic District, Downtown Core, Singapore, Central, 178905, Singapore",178905
Akira Back (JW Marriott Singapore South Beach),"Japanese, Korean, Vegetarian Friendly",Bugis,$$$$,Vegan,Singapore,1.299966,103.8552892,"Bugis, Tan Quee Lan Street, Bugis, Downtown Core, Singapore, Central, 188749, Singapore",188749
Akira Back (JW Marriott Singapore South Beach),"Japanese, Korean, Vegetarian Friendly",Marina Central,$$$$,Vegan,Singapore,1.2894104,103.8631253,"Singapore Flyer, Raffles Avenue, Marina Centre, Downtown Core, Singapore, Central, 039799, Singapore",39799
Al Borgo @ Alocassia Apartments,"Italian, Seafood, Steakhouse, Vegetarian Friendly",Bukit Timah,$$$,Vegan,Singapore,1.3546901,103.7763724,"Bukit Timah Hill, Northwest, 589333, Singapore",589333
