drink volume,drink name,attributes,quantity,volume,Serving Size_Cleaned,Added_Sugar_combined (g),protein_total (g),Combined Calories from Fat (kcal),Calories (kcal),Total Calories (kcal),Fibre (g),Carbohydrates (g),cholesterol (mg),Sodium Content (mg),trans_fat_combined (g),saturated_fat_combined (g),monounsaturated_fat_combined (g),polyunsaturated_fat_combined (g),Combined_Sugar (g),Combined_Fat (g),nutrigrade
24 x 200ml (ctn),milo chocolate malt milk uht packet drink,per serving,24 , 200ml (ctn),,0.0,1.7,0.0,0.015299999999999998,0.0,0.03,8.0,9500.0,60.0,0.001,0.0,0.0,0.0,0.5,0.9,B
12 x 320ml (ctn),coca-cola can drink - zero sugar,per serving (100ml),12 , 320ml (ctn),100ml,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,A
6 x 180ml,coca-cola mini can drink - zero sugar,per serving (180ml),6 , 180ml,180ml,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,A
24 x 325ml (ctn),100 plus isotonic can drink - original,per serving (100ml),24 , 325ml (ctn),100ml,0.0,0.0,0.0,27.0,0.0,0.0,6.8,0.0,48.0,0.0,0.0,0.0,0.0,6.8,0.0,C
24 x 200ml (ctn),ribena blackcurrant fruit packet drink - regular ,per serving (100g),24 , 200ml (ctn),100g,0.0,0.0,0.0,43.0,0.0,0.0,10.6,0.0,0.0,0.0,0.0,0.0,0.0,10.5,0.0,D
6 x 250ml,pokka packet drink - ice lemon tea,per serving (250ml),6 , 250ml,250ml,0.0,0.0,0.0,100.0,0.0,0.0,25.0,0.0,13.000000000000002,0.0,0.0,0.0,0.0,25.0,0.0,D
1.5l,pokka bottle drink - peach tea,per serving (250ml),1,1.5l,250ml,0.0,0.0,0.0,88.0,0.0,0.0,22.0,0.0,8.0,0.0,0.0,0.0,0.0,22.0,0.0,D
24 x 250ml (ctn),pokka packet drink - oolong tea (no sugar added),per serving (250ml),24 , 250ml (ctn),250ml,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.000000000000002,0.0,0.0,0.0,0.0,0.0,0.0,A
18 x 27g,milo 3 in 1 instant chocolate malt drink,per serving (27g),18 , 27g,27g,0.0,2.2,0.0,96.0,0.0,1.0,16.4,2.0,76.0,0.0,1.0,0.0,0.0,12.2,2.0,D
1.5l,pokka bottle drink - oolong tea (no sugar added),per serving (250ml),1,1.5l,250ml,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.000000000000002,0.0,0.0,0.0,0.0,0.0,0.0,A
24 x 200ml (ctn),ribena blackcurrant fruit drink packet - light,per serving (200ml),24 , 200ml (ctn),200ml,0.0,0.0,0.0,38.0,0.0,0.0,9.4,0.0,20.0,0.0,0.0,0.0,0.0,8.8,0.0,C
4 x 125g,milo chocolate malt uht packet drink - less sugar,per serving,4 , 125g,,0.0,4.6,0.0,108.0,0.0,0.0,16.0,4.0,90.0,0.0,1.6,0.0,0.0,11.8,2.8,D
450g,milo chocolate malt drink powder with milk - australian recipe,per serving (25g),1,450g,25g,0.0,3.25,0.0,105.0,0.0,1.0,17.57,0.0,27.0,0.0,0.0,0.0,0.0,11.6,0.0,D
6 x 250ml,pokka packet drink - chrysanthemum with white tea,per serving (250ml),6 , 250ml,250ml,0.0,0.0,0.0,55.0,0.0,0.0,14.0,0.0,15.0,0.0,0.0,0.0,0.0,14.0,0.0,D
10 x 28g,horlicks 3 in 1 instant malted drink - original,per serving (28g),10 , 28g,28g,0.0,3.1,0.0,107.0,0.0,0.5,21.1,0.0,100.0,0.0,0.0,0.0,0.0,0.0,1.1,B
6 x 250ml,pokka packet drink - carrot juice,per serving (250g),6 , 250ml,250g,0.0,0.0,0.0,103.0,0.0,0.0,25.8,0.0,12.5,0.0,0.0,0.0,0.0,24.5,0.0,D
6 x 250ml,pokka premium packet drink - milk tea (original),per serving (250ml),6 , 250ml,250ml,0.0,1.5,0.0,105.0,0.0,0.0,20.8,0.0,53.0,0.0,1.3,0.0,0.0,19.0,1.8,D
6 x 250ml,yeo's packet drink - soy bean milk,per serving (100ml),6 , 250ml,100ml,0.0,2.0,0.0,50.0,0.0,0.0,7.9,0.0,0.0,0.0,0.0,0.0,0.0,7.7,1.2,C
4 x 320ml,a&w can drink - sarsaparilla root beer,per serving (100ml),4 , 320ml,100ml,0.0,0.0,0.0,50.0,0.0,0.0,12.4,0.0,7.0,0.0,0.0,0.0,0.0,12.4,0.0,D
1.5l,a&w bottle drink - sarsaparilla root beer,per serving (100ml),1,1.5l,100ml,0.0,0.0,0.0,50.0,0.0,0.0,12.4,0.0,7.0,0.0,0.0,0.0,0.0,12.4,0.0,D
1.5l,pokka bottle drink - japanese roasted tea houjicha,per serving,1,1.5l,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,A
6 x 300ml,jia jia herbal tea can drink - less sugar,per serving (300ml),6 , 300ml,300ml,0.0,0.3,0.0,68.0,0.0,0.0,16.8,0.0,25.2,0.0,0.0,0.0,0.0,16.2,0.0,D
1.5l,f&n flavoured bottle drink - cool ice cream soda ,per serving (250ml),1,1.5l,250ml,0.0,0.0,0.0,44.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A
6 x 250ml,pokka packet drink - natsbee honey yuzu,per serving (250ml),6 , 250ml,250ml,0.0,0.0,0.0,90.0,0.0,0.0,22.3,0.0,33.0,0.0,0.0,0.0,0.0,20.0,0.0,D
24 x 250ml (ctn),vitasoy soya bean packet drink,per serving (250ml),24 , 250ml (ctn),250ml,0.0,3.0,0.0,110.0,0.0,0.8,18.3,0.0,43.0,0.0,0.5,0.0,0.0,17.5,2.8,D
1.5l,pokka premium bottle drink - straight red tea,per serving (250ml),1,1.5l,250ml,0.0,0.0,0.0,58.0,0.0,0.0,14.5,0.0,15.0,0.0,0.0,0.0,0.0,14.5,0.0,D
12 x 320ml (ctn),coca-cola can drink - vanilla,per serving (100ml),12 , 320ml (ctn),100ml,0.0,0.0,0.0,19.0,0.0,0.0,4.6,0.0,2.0,0.0,0.0,0.0,0.0,4.6,0.0,B
1.5l,coca-cola bottle drink - zero sugar,per serving (100ml),1,1.5l,100ml,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,A
24 x 325ml (ctn),f&n can drink - soda water (slim),per serving (325ml),24 , 325ml (ctn),325ml,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A
1.5l,fanta bottle drink - orange,per serving (320ml),1,1.5l,320ml,0.0,0.0,0.0,61.0,0.0,0.0,14.7,0.0,10.0,0.0,0.0,0.0,0.0,14.7,0.0,D
1.5l,fanta bottle drink - grape,per serving (320ml),1,1.5l,320ml,0.0,0.0,0.0,61.0,0.0,0.0,14.7,0.0,13.000000000000002,0.0,0.0,0.0,0.0,14.7,0.0,D
6 x 250ml,pokka packet drink - peach tea,per serving (250ml),6 , 250ml,250ml,0.0,0.0,0.0,90.0,0.0,0.0,22.5,0.0,13.000000000000002,0.0,0.0,0.0,0.0,22.5,0.0,D
24 x 250ml (ctn),marigold packet drink - jasmine green tea,per serving (250g),24 , 250ml (ctn),250g,0.0,0.0,0.0,50.0,0.0,0.0,12.5,0.0,15.0,0.0,0.0,0.0,0.0,12.3,0.0,D
6 x 250ml,yeo's justea packet drink - white grape green tea,per serving (250ml),6 , 250ml,250ml,0.0,0.0,0.0,130.0,0.0,0.0,32.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A
6 x 250ml,marigold packet fruit drink - mango,per serving (250ml),6 , 250ml,250ml,0.0,0.0,0.0,112.0,0.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,0.0,D
1l,life oolong tea bottle drink - no sugar,per serving (250ml),1,1l,250ml,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A
24 x 250ml (ctn),pokka packet drink - ice peach tea,per serving (250ml),24 , 250ml (ctn),250ml,0.0,0.0,0.0,90.0,0.0,0.0,22.5,0.0,13.000000000000002,0.0,0.0,0.0,0.0,22.5,0.0,D
20 x 18g,gold kili instant red date tea drink - longans honey,per serving (18g),20 , 18g,18g,0.0,0.1,0.0,71.0,0.0,0.0,17.6,0.0,0.7,0.0,0.0,0.0,0.0,17.6,0.0,D
1.5l,pokka bottle drink - kiyo kyoho grape,per serving (100ml),1,1.5l,100ml,0.0,0.0,0.0,43.0,0.0,0.0,10.8,0.0,0.0,0.0,0.0,0.0,0.0,10.7,0.0,D
