Drink Volume,Drink Name,Attributes,Energy,Protein,Total Fat,Carbohydrate,Calcium,Vitamin A,Vitamin B1,Vitamin D3,Carbohydrates,Saturated Fat,Sugars,Sodium,Calories,Total Sugars,Energy from Fat,Trans Fat,Cholesterol,Total Carbohydrates,Dietary Fibre,Calories from Fat,Monounsaturated Fat,Polyunsaturated Fat,Total Carbohydrate,Total Sugar,Monounsaturated Fatty Acid,Polyunsaturated Fatty Acid,Saturated Fatty Acid,Trans Fatty Acid,Salt,Cholestrol,Unsaturated Fat,Lactose,Sucrose,Calories From Fat,Saturated,Vitamin C,Iron,Fats,Natrium,Sugar,Fat,Trans fat,Dietary Fiber,Total fat,Saturated fat,Omega 6,Carbohyrate,Lipids,Salt equivalent,Phosphrous,Calorie,Potassium,Polyphenois,Caffeine,Per,Saturates Fat,Total Carb,Total Fats,Saturated Fats,Added Sugar,Caffeine Content,Per Serving,SaturatedFat,of which saturated fats,of which sugars,Fibres,Fibre,Serving Per,Added Sugars,Vitamin D,Total Calorieso,Calories From Saturated Fat,Salt (Sodium),Serving,TotalSugers,Monosaturated Fat,Satutated Fat,Total Dietary Fiber,Enery
392g,Milkmaid Sweetened Condensed Milk - Full Cream (High Calcium),Per Serving (20g),65kcal,1.4g,1.6g,11.2g,52mg,42µg,0.2mg,0.6µg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
600 G,Killiney 3-in-1 White Coffee,Per Serving (1.1g),,1.1g,,,,,,,30g,5.8g,15.5g,21mg,176kcal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200g,Nescafe Gold Original,Per 100ml,4kcal,0.3g,0.0g,0.7g,,,,,,,,0.4g,,0.0g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
450g,Nestle Coffeemate Creamer - Pouch,Per Serving (6g),33kcal,0.1g,2.1g,3.4g,,,,,,,,12mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100 x 20g,Indocafe 3 in 1 Instant Coffee Mix,Per Serving (20g),90kcal,< 1g,2g,,,,,,,1.8g,10g,20mg,,,20kcal,0g,0mg,16g,0g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20 x 20g,Gold Kili Traditional Kopi O,Per Serving (20g),,0.5g,0g,15.5g,0.3%,,,,,0g,14.1g,8mg,63kcal,,,0g,0mg,,0.5g,0kcal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
630g,Super Original 3-in-1 Coffee,Per Serving (20g),89kcal,0.8g,2.4g,15.8g,,,,,,2.4g,,18mg,,,,0g,,,,,0g,0g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15 x 30g,Ah Huat White Coffee - Classic,Per Serving (30g),126kcal,0.8g,4.4g,,,,,,,3.7g,13.5g,52.4mg,,,,0g,0mg,,0g,,,,20.8g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45 x 20g,Ye Ye 3 in 1 Instant Coffee Mix - Regular,Per 100ml,52kcal,0.2g,1.2g,9.8g,,,,,,1.1g,,14mg,,,,0.0g,0mg,,0.2g,,,,,5.7g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
380g,F&N Sweetened Creamer - Rich & Creamy,Per Serving (20g),67kcal,0.5g,2.1g,11.7g,,,,,,,,,,,,,0.2mg,,,,,,,,0.8g,0.2g,1.0g,0.0g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30 x 20g,Indocafe 3 in 1 Instant Coffee,Per Serving (20g),,< 1g,2g,16g,,,,,,1.8g,10g,20mg,90cal,,,0g,0mg,,0g,20cal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15 x 33g,Super 3 in 1 Instant Charcoal Roasted White Coffee - Hazelnut,Per Serving (36g),159kcal,1.2g,5.2g,26.9g,,,,,,5.2g,,76mg,,,,0g,,,,,0g,0g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200g,Moccona Instant Coffee - Classic (Dark Roast),Per Serving (100g),135kcal,15.1g,0.2g,6.1g,,,,,,0.1g,3.3g,,,,,,,,,,,,,,,,,,0.4175g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
420g,Super 2-In-1 Instant Coffee - Zero Sugar,Per Serving (12g),54kcal,0.8g,2.1g,8g,,,,,,2g,,2.6mg,,,,0g,,,,,0.1g,0.1g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
500g,Owl Kopitiam Roast & Ground Coffee Powder - Heritage Blend,Per Serving (7g),9kcal,0.5g,0g,2g,,,,,,0g,0g,6mg,,,,0g,,,0g,,,,,,,,,,,0mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30 x 20g,Super 3 in 1 Instant Coffee - Low Fat (Rich),Per Serving (20g),87kcal,0.7g,2.5g,15.4g,,,,,,2.5g,,17mg,,,,0g,,,,,0g,0g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20 x 10g,Owl Kopitiam Roast & Ground Coffee Bags - Kopi-O Kosong,Per Serving (20g),11kcal,0.4g,0.7g,2.4g,,,,,,0g,12.9g,3mg,,,,0g,0mg,,0g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20 x 17g,Gold Roast Kopi O - Reduced Sugar,Per Serving (17g),40kcal,0g,0g,10g,,,,,,0g,7.5g,5mg,,,,0g,0mg,,0g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15 x 35g,Super 3 in 1 Instant Charcoal Roasted White Coffee - Classic,Per Serving (40g),180kcal,1.4g,5.8g,30g,,,,,,5.8g,,83mg,,,,0g,,,0.8g,,0g,0g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40 per pack,Owl Traditional Blend Coffee Bags,Per Serving (5.5g),9kcal,0.3g,0g,2g,,,,,,0g,0g,11mg,,,,0g,0mg,,0.2g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12 x 35g,Chek Hup 3 in 1 Instant Ipoh White Coffee - Less Sweet,Per Serving,481kcal,4.2g,19.9g,71.2g,,,,,,19.1g,35.7g,,,,,0.5g,,,,,0.1g,0g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20 x 9g,Gold Roast Kopi O - Kosong ,Per Serving (9g),37kcal,1.3g,0.5g,6.7g,,,,,,0.2g,0.4g,5mg,,,,0g,0mg,,4.9g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20 x 10g,Coffee Hock Instant Coffee-O Bags - Kosong (Strong & Refreshing),Per Serving (10g),23kcal,1.2g,0.9g,2.4g,,,,,,0.3g,0.2g,12mg,,,,,0mg,,4.6g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50g,Nescafe Instant Soluble Coffee Jar - Gold,Per Serving (2g),6kcal,18g,0g,0.8g,,,,,,,,0.2mg,,,,,0mg,,0.4g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15 x 40g,Ah Huat White Coffee - Extra Rich,Per Serving (40g),166kcal,1.4g,6.6g,,,,,,,6.1g,15.7g,44.5mg,,,,0.0g,0mg,25.2g,0.7g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30 x 12g,FairPrice Cafe White 2 in 1 Instant Coffee - Coffee & Creamer,Per Serving (12g),57kcal,0.8g,2.6g,7.5g,,,,,,2.6g,,30mg,,,,0.0g,0mg,,0.3g,,,,,1.7g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200g,Moccona Instant Coffee - Classic 5 (Medium Roast),Per Serving (100g),135kcal,15.1g,0.2g,6.1g,,,,,,0.1g,3.3g,,,,,,,,,,,,,,,,,,0.4175g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30 x 17g,Owl Kopitiam Roast & Ground Coffee Bags - Kopi-O,Per Serving (17g),70kcal,0.5g,0.6g,15.6g,,,,,,0.3g,12.7g,2mg,,,,0g,0mg,,0.2g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15 x 38g,Ah Huat White Coffee - Gold Medal,Per 100ml,78kcal,0.6g,2.8g,,,,,,,2.8g,8.6g,23.6mg,,,,0g,0mg,12.6g,0.4g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6 x 240ml,Pokka Coffee Can Drink - Milk Coffee (Less Sugar),Per Serving,106kcal,2.4g,,22.1g,,,,,,,19.4g,86mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25 + free 5 x 20g,Owl 3 in 1 Instant Coffee - Regular Low Fat,Per Serving (20g),86kcal,0.7g,1.9g,2.4g,,,,,,1.9g,10g,32mg,,,,0g,16.4mg,,0.2g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10 x 52g,Lor Espresso Aluminium Coffee Capsules - Onyx,Per Serving (100ml),1kcal,0.2g,,0.1g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15 x 30g,Owl Kopitiam Roast & Ground Coffee Bags - Kopi Siew Dai,Per Serving (30g),150kcal,1.2g,7g,20.7g,,,,,,6.8g,10.9g,41mg,,,,0g,0mg,,0.3g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100g,Nescafe Classic,Per Serving (2g),6kcal,0.4g,0g,0.8g,,,,,,0g,0g,0.2mg,,,,0g,0mg,,0.4g,,,,,,,,,,,,0g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20 x 18g,Coffee Hock 2 in 1 Instant Coffee-O Bags - Raw Sugar,Per Serving (10g),23kcal,1.2g,0.9g,2.4g,,,,,,0.3g,0.2g,12mg,,,,,0mg,,4.6g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16 x 16g,Nescafe Dolce Gusto Beverage Capsules - Chococino,Per Serving (100g),441kcal,14.42g,15.99g,55.62g,,,,,,9.59g,53.93g,159.6mg,,,,0.61g,59.66mg,,4.62g,,3.68g,0.55g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12 per pack,Starbucks Coffee Capsules - Caramel Macchiato,Per Serving (100g),416kcal,14.3g,17.7g,,,,,,41.7g,10.2g,37.8g,,,,,,,,10.1g,,,,,,,,,,0.4g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16 x 12g,Nescafe Dolce Gusto Beverage Capsules - Latte Macchiato,Per Serving (220ml),98kcal,4.5g,4.5g,9.6g,,,,,,3g,8.3g,59.2mg,,,,0g,17mg,,0.5g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20 x 30g,Old Town Nanyang Instant White Coffee O - Sugar Added,Per Serving (100ml),250kJ,0.6g,0.5g,,,,,,13.0g,0.2g,9.0g,20mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10 x 52g,Lor Espresso Aluminium Capsules - Supermo,Per Serving (100ml),1kcal,0.2g,,0.1g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10 x 52g,Lor Espresso Aluminium Capsules - Ristretto,Per Serving (100ml),1kcal,0.2g,,0.1g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20 x 19g,Gold Roast Kopi O - Sugar,Per Serving (19g),48kcal,0g,0g,12g,,,,,,0g,11g,6mg,,,,0g,0mg,,0g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50g,Nescafe Classic,Per Serving (2g),6kcal / 23kJ,0.4g,0g,0.8g,,,,,,,,0.2mg,,,,,0mg,,0.4g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20 x 10g,FairPrice Instant Traditional Black Coffee - Kopi-O Kosong,Per Serving (10g),41kcal,1.1g,0.7g,7.6g,,,,,,0.3g,2.3g,22mg,,,,0g,0mg,,5.1g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25 x 12g,Owl 2 in 1 Instant Coffee with Creamer,Per Serving (12g),61kcal,0.9g,3.2g,7.2g,,,,,,3.2g,1.9g,40mg,,,,0g,0mg,,0.1g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200g,Nescafe Instant Soluble Coffee Jar - Gold Intense,Per Serving 28g,6kCal,0.4g,0g,0.8g,,,,,,0g,0.1g,0.6mg,,,,0,0mg,,0.4g,,0g,0g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
240ml,Nescafe Milk Coffee Can Drink - Original,Per Serving (240),415kJ,2.4g,1.9g,18g,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.9g,10.8g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
