Drink Volume,Drink Name,Attributes,Energy,Protein,Carbohydrate,Fat,Cholesterol,Sugars,Dietary Fibre,Sodium,Catechin,Potassium,Vitamin B3,Vitamin B6,Vitamin B12,Calories,Saturated Fat,Carbohydrates,Total Fat,Total Sugar,Tea Polyphenols,Trans Fat,Antioxidant,Added Sugars,Calcium,Vitamin C,Total Sugars,Theanine,Tea Polyphenois,Iron,Water,Ash,Magnesium,Phosphorus,Copper,Manganese,Riboflavin,Niacin,Folate,Asorbic Acid,Calories from Fat,Monounsaturated Fat,Polyunsaturated Fat,Per Serving Size,Fats,Vitamin A,Sugar,Catechin (mg),Vitamin B1,Vitamin B2,Salt equivalent,Caffeine,Total Carbohydrate,Total fat,Dietry fibre,Calories From Fat,Salt,Total Energy,Total Fats,Saturated fat,Amount per,Saturated fats,Total Carboyhdrate,Dietary fiber,Carbohyrate
100 per pack,Lipton Yellow Label Tea Bags - International Blend,Per Serving (100ml),0g,0g,0g,0g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12 x 300ml,Authentic Tea House Ayataka No Sugar Japanese Green Tea,Per Serving (100ml),0kcal,0g,0g,,0g,0g,0g,8mg,0mg,0mg,0mg,0mg,0mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6 X 600G,Killiney Premium Milk Tea Family Bundle,Per Serving (null),,0.6g,,,,19.4g,,85mg,,,,,,170kcal,4.9g,30.7g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.5L,Pokka Bottle Drink - Ice Lemon Tea,Per Serving (250ml),100kcal,0.0g,25.0g,,,,,13mg,,,,,,,0.0g,,0.0g,24.3g,10mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6 x 250ml,Pokka Packet Drink - Ice Lemon Tea,Per Serving (250ml),100kcal,0.0g,25.0g,,,25.0g,,13mg,,,,,,,0.0g,,0.0g,,10mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12 x 300ml (CTN),Pokka Can Drink - Jasmine Green Tea ,Per Serving (300ml),72kcal,0g,18g,,0mg,18g,,18mg,,,,,,,0g,,0g,,90mg,0g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.5L,Fuze Tea Flavoured Green Tea Bottle Drink - Jasmine,Per Serving (100ml),22kcal,0g,5.5g,,,5.5g,,5mg,,,,,,,,,0g,,,,15mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.5L,Authentic Tea House Da Hong Pao No Sugar Oolong Tea,Per Serving (240ml),,0g,0g,,,0g,,19mg,,,,,,0kcal,,,0g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6 x 250ml,Pokka Packet Drink - Chrysanthemum with White Tea,Per Serving (250ml),55kcal,0g,14g,,0mg,14g,,15mg,,,,,,,0g,,0g,,30mg,0g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12 x 300ml,Fuze Tea Flavoured Green Tea Can Drink - Jasmine,Per Serving (30g),66kcal,0g,16.5g,,,16.5g,,18mg,,,,,,,,,0g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1L,Life Japanese Green Tea Bottle Drink - No Sugar,Per Serving (250ml),0kcal,0g,0g,,0mg,0g,0g,18mg,,,,,,,0g,,0g,,,0g,,0g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6 x 300ml,Jia Jia Herbal Tea Can Drink - Less Sugar,Per Serving (300ml),68kcal,0.3g,16.8g,,0mg,16.2g,0g,25.2mg,,,,,,,0g,,0g,,,0g,,,5.7mg,0.3mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.5L,Pokka Premium Bottle Drink - Straight Red Tea,Per Serving (250ml),58kcal,0g,14.5g,,0mg,14.5g,0g,15mg,,,,,,,0g,,0g,,10mg,0g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6 x 250ml,Pokka Packet Drink - Peach Tea,Per Serving (250ml),90kcal,0.0g,22.5g,,,,,13mg,,,,,,,0.0g,,0.0g,,10mg,,,,,,22.5g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50 per pack,Lipton Yellow Label Tea Bags - International Blend,Per Serving (200ml),0.8kcal,0g,0.2g,,0mg,,,0.2g,,,,,,,0g,,0g,,,0g,,,,,,15mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.5L,Pokka Bottle Drink - Blueberry Tea ,Per Serving (250ml),78kcal,0g,19.5g,,,19.5g,,13mg,,,,,,,,,0g,,10mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24 x 250ml (CTN),Marigold Packet Drink - Jasmine Green Tea,Per Serving (250g),50kcal,0g,12.5g,,0g,,0g,15mg,,,,,,,0g,,0g,,,0g,,,,,12.3g,,75mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6 x 250ml,Vita HK Style Milk Tea Packet Drink - Original,Per Serving,49kcal,1.4g,7.4g,,,6.4g,,60mg,,,,,,,1.2g,,1.5g,,,0g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30 x 20g,BOH 3 in 1 Instant Tea Mix - Original,Per Serving (170ml),89kcal,0.3g,17.1g,,,,,32mg,,,,,,,,,2.6g,,,,,,,,,,,7.0mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.5L,Pokka Bottle Drink - Chrysanthemum with White Tea,Per Serving (250ml),55kcal,0g,14g,,0mg,14g,,15mg,,,,,,,0g,,0g,,30mg,0g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50 x 2g,OSK Japanese Green Tea Bags - Mixed with Roasted Rice,Per Serving (100g),,,0.1g,,,,,2mg,,32mg,,0.01mg,,,,,,,,,,,5mg,,,,,0.2mg,99.8g,0.1g,1mg,2mg,0.01mg,0.19mg,0.03mg,0.2mg,7µg,3mg,,,,,,,,,,,,,,,,,,,,,,,,,
100 x 2g,Lipton Yellow Label Tea Bags - International Blend,Per Serving,0kcal,0g,0g,,,,,0mg,,,,,,,,,0g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20 x 18g,Gold Kili Instant Red Date Tea Drink - Longans Honey,Per Serving (18g),,0.1g,17.6g,,0mg,17.6g,0g,0.7mg,,10.8mg,,,,71kcal,0g,,0g,,,0g,,,0.1%,,,,,,,,,,,,,,,,0kcal,,,,,,,,,,,,,,,,,,,,,,,,
12 per pack,BOH Teh Tarik Instant Milk Tea Beverage - Original,Per Serving (180ml),128kcal,1.1g,19.3g,,0mg,10.4g,,46.1mg,,,,,,,,,5.2g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6 x 250ml,Pokka Packet Drink - Ice Blueberry Tea (Less Sugar),Per Serving (100ml),24kcal,0g,6g,,0mg,6g,0g,5mg,,,,,,,0g,,0g,,4mg,0g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12 x 300ml (CTN),Pokka Can Drink - Ice Lemon Tea ,Per Serving (300ml),120kcal,0.0g,30.3g,,,,,15mg,,,,,,,0.0g,,0.0g,29.4g,12mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
